model_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,cohen_kappa,matthews_corrcoef,auc_macro,auc_micro,inference_time_total,inference_time_per_sample,total_params
dense_cnn,0.975,0.9787593984962406,0.9770883458646616,0.9858140549978175,0.975,0.9815986692047812,0.9753202654730668,0.9675219227021761,0.9679391000271853,0.9993883554170756,0.999125,0.1616816520690918,0.000808408260345459,12216582
residual_cnn,0.96,0.9617488430651967,0.9609677419354838,0.959785069874134,0.96,0.9603565078018937,0.9601410256410255,0.9477874951050776,0.9479112594642841,0.9975164811585054,0.996385,0.24109745025634766,0.0012054872512817384,71110
pyramid_cnn,0.955,0.9468088624338625,0.9598030753968254,0.9616736990154712,0.955,0.9518858975946728,0.955347928938093,0.9417456875627043,0.9427457292955679,0.9978701686884196,0.9967750000000001,0.212479829788208,0.00106239914894104,167494
basic_cnn,0.94,0.9436507936507937,0.9493095238095239,0.9406845638683464,0.94,0.9387925952432905,0.9415530443854391,0.9223275834169391,0.9239313734511999,0.9975183307334521,0.9958450000000001,0.466658353805542,0.00233329176902771,72070
global_max_pool,0.94,0.9438126464336142,0.9440503537680958,0.9331642268996773,0.94,0.9359256311681685,0.9401356330236927,0.9218266505977004,0.9225182062701036,0.9957900583137331,0.993625,0.10890054702758789,0.0005445027351379394,157190
locally_connected,0.94,0.9411671335200748,0.9455997198879552,0.9356442412877012,0.94,0.9356814734127353,0.9405045625034358,0.9220855111515113,0.9231414464560882,0.9945604755778646,0.992935,1.1667695045471191,0.005833847522735596,4635398
vit_like,0.935,0.939021164021164,0.945234126984127,0.9353082197823248,0.935,0.9336797924159354,0.9369375608329219,0.9158603281447203,0.9175122565718941,0.997816529657629,0.995815,0.08020472526550293,0.00040102362632751467,72070
dilated_cnn,0.935,0.9284768870975767,0.9398225108225108,0.9394267579698649,0.935,0.9312493937303775,0.9358108458126841,0.9155268202345755,0.9160390579235783,0.9979699707626325,0.9937799999999999,0.21020746231079102,0.001051037311553955,103878
deep_cnn,0.925,0.9168508615567439,0.9286217468805705,0.9254974858766344,0.925,0.9197968474178152,0.9255536352088771,0.9027300434472473,0.9033593527442756,0.9968140386217886,0.996125,0.4422907829284668,0.002211453914642334,163270
cnn_lstm,0.915,0.8918300353257131,0.9140034076308585,0.8792171549068862,0.915,0.8851591018614448,0.9142374056640615,0.8886049406985126,0.8887294736766181,0.9926572706660026,0.992215,0.6860165596008301,0.0034300827980041503,91782
wide_deep_cnn,0.905,0.9035512027051191,0.9102156862745098,0.8854792133729877,0.905,0.8899317783271807,0.9048616639638313,0.8758656735920555,0.8766407350228219,0.9926922303128167,0.99247,0.19749784469604492,0.0009874892234802246,190470
avg_pool,0.9,0.8966988519620097,0.9098868054657528,0.8859748120926153,0.9,0.8830103082226751,0.8993299359326518,0.870319338628627,0.8724193061499336,0.9953741118913816,0.993675,0.16765570640563965,0.0008382785320281982,157190
cross_attention,0.885,0.8690353154876805,0.8968842780026991,0.8633932238960447,0.885,0.8587712199413056,0.8849659562068234,0.8500065214555889,0.852063823178687,0.9852900605195082,0.98387,0.18643498420715332,0.0009321749210357666,67718
hybrid_mamba,0.87,0.8433038911657332,0.8847412820554268,0.8327645841927122,0.87,0.8315326598873901,0.8721066230563163,0.8314861624214142,0.8339516989134329,0.9865781651754704,0.9825999999999999,0.5542600154876709,0.0027713000774383543,176263
attention_lstm,0.87,0.8501614524430515,0.8837995669546349,0.8652053346332446,0.87,0.852441542062527,0.8718467755662002,0.8329746571162433,0.8357763367658051,0.9804682012630499,0.975465,0.4341456890106201,0.0021707284450531005,83975
double_conv,0.86,0.8696821175278622,0.8974966565349544,0.8543873727749799,0.86,0.8467167457299035,0.8650826227865701,0.8209146146466262,0.828593757351014,0.9896756590002275,0.984745,0.27172064781188965,0.0013586032390594483,113062
multiscale,0.85,0.8247993839337641,0.8653781696870863,0.8286639615026056,0.85,0.8116069496540268,0.8481322469894227,0.8072227220151652,0.8105555731114772,0.9732082954463812,0.9755100000000001,0.2359321117401123,0.0011796605587005614,55238
elu_cnn,0.85,0.9129549808429118,0.8926616379310345,0.7483751871512182,0.85,0.7566802214479457,0.8311386336526826,0.7999266397679149,0.8096725293776977,0.9968140248154479,0.983275,0.13173770904541016,0.0006586885452270507,158982
